
!(0,80,53,124)
(348,80)
(348,78)
(350,74)
(348,68)
(348,72)
(348,67)
(344,63)
(343,57)
(345,58)
(344,56)
(348,57)
(349,55)
(349,52)
(353,52)
(355,51)
(356,48)
(359,47)
(360,45)
(364,43)
(369,41)
(369,39)
(369,39)
(371,35)
(368,36)
(368,32)
(369,30)
(369,30)
(370,29)
(370,27)
(370,27)
(369,26)
(371,26)
(369,26)
(368,25)
(370,24)
(368,23)
(368,23)
(368,22)
(367,22)
(365,22)
(363,22)
(362,21)
(358,20)
(358,20)
(354,19)
(354,19)
(356,20)
(353,22)
(355,23)
(356,23)
(359,22)

!(3,18,101,184)
(72,120)
(127,114)
(175,112)
(216,106)
(274,103)
(313,102)
(350,91)
(399,83)
(422,73)
(461,63)
(499,61)
(520,60)
(574,53)
(575,58)
(575,58)
(575,58)
(576,59)
(576,60)
(576,58)

!(1,50,92,231)
(2,201)
(9,199)
(17,196)
(17,193)
(43,200)
(60,208)
(78,213)
(91,205)
(109,219)
(109,220)
(134,224)
(150,228)
(168,234)
(166,228)
(204,225)
(220,226)
(232,226)
(250,226)
(265,225)
(265,226)
(294,214)
(302,204)
(310,196)
(310,196)
(334,192)
(345,187)
(355,182)
(365,176)
(369,170)
(370,172)
(384,167)
(391,167)
(396,159)
(396,159)
(406,150)
(411,149)
(416,151)
(425,153)
(431,150)
(431,150)
(440,142)
(444,143)
(446,142)
(446,142)
(449,137)
(453,134)
(454,131)
(456,130)
(461,133)
(461,133)
(469,129)

!(2,1014,48,153)
(140,80)
(137,77)
(135,77)
(135,77)
(136,85)
(136,84)
(136,82)
(135,86)
(132,90)
(128,89)
(128,89)
(124,92)
(125,97)
(124,95)
(125,94)
(125,100)
(124,104)
(123,103)
(118,102)
(117,104)
(119,110)
(121,108)
(122,111)
(121,115)
(121,113)
(115,115)
(113,118)
(113,120)
(113,126)
(115,125)
(116,127)
(116,129)
(111,136)
(108,136)
(105,136)
(105,143)
(109,148)
(110,146)
(110,148)
(111,155)
(110,160)
(107,161)
(102,162)
(96,169)
(97,175)
(97,175)
(100,180)
(101,182)
(101,185)
(103,192)
(107,196)
